True Label,Predicted As,Count,Example 1,Example 2,Example 3,All Files
fox,donkey,5,fox_21.jpg,fox_5.jpg,fox_54.jpg,"fox_21.jpg, fox_5.jpg, fox_54.jpg, fox_55.jpg, fox_7.jpg"
dolphin,otter,5,dolphin_2.jpg,dolphin_31.jpg,dolphin_32.jpg,"dolphin_2.jpg, dolphin_31.jpg, dolphin_32.jpg, dolphin_46.jpg, dolphin_53.jpg"
bison,oyster,5,bison_18.jpg,bison_19.jpg,bison_33.jpg,"bison_18.jpg, bison_19.jpg, bison_33.jpg, bison_54.jpg, bison_57.jpg"
zebra,crow,5,zebra_2.jpg,zebra_34.jpg,zebra_50.jpg,"zebra_2.jpg, zebra_34.jpg, zebra_50.jpg, zebra_6.jpg, zebra_9.jpg"
whale,shark,5,whale_13.jpg,whale_34.jpg,whale_47.jpg,"whale_13.jpg, whale_34.jpg, whale_47.jpg, whale_54.jpg, whale_59.jpg"
penguin,reindeer,5,penguin_14.jpg,penguin_30.jpg,penguin_39.jpg,"penguin_14.jpg, penguin_30.jpg, penguin_39.jpg, penguin_49.jpg, penguin_6.jpg"
possum,gorilla,5,possum_10.jpg,possum_21.jpg,possum_22.jpg,"possum_10.jpg, possum_21.jpg, possum_22.jpg, possum_44.jpg, possum_59.jpg"
hippopotamus,bear,4,hippopotamus_12.jpg,hippopotamus_20.jpg,hippopotamus_4.jpg,"hippopotamus_12.jpg, hippopotamus_20.jpg, hippopotamus_4.jpg, hippopotamus_49.jpg"
woodpecker,sparrow,4,woodpecker_18.jpg,woodpecker_2.jpg,woodpecker_26.jpg,"woodpecker_18.jpg, woodpecker_2.jpg, woodpecker_26.jpg, woodpecker_34.jpg"
ladybugs,hamster,4,ladybugs_17.jpg,ladybugs_27.jpg,ladybugs_33.jpg,"ladybugs_17.jpg, ladybugs_27.jpg, ladybugs_33.jpg, ladybugs_56.jpg"
boar,snake,4,boar_3.jpg,boar_34.jpg,boar_50.jpg,"boar_3.jpg, boar_34.jpg, boar_50.jpg, boar_51.jpg"
jellyfish,whale,4,jellyfish_24.jpg,jellyfish_3.jpg,jellyfish_30.jpg,"jellyfish_24.jpg, jellyfish_3.jpg, jellyfish_30.jpg, jellyfish_45.jpg"
eagle,koala,4,eagle_1.jpg,eagle_15.jpg,eagle_17.jpg,"eagle_1.jpg, eagle_15.jpg, eagle_17.jpg, eagle_45.jpg"
beetle,goat,4,beetle_1.jpg,beetle_16.jpg,beetle_17.jpg,"beetle_1.jpg, beetle_16.jpg, beetle_17.jpg, beetle_32.jpg"
fly,beetle,4,fly_11.jpg,fly_33.jpg,fly_47.jpg,"fly_11.jpg, fly_33.jpg, fly_47.jpg, fly_9.jpg"
caterpillar,hyena,4,caterpillar_2.jpg,caterpillar_34.jpg,caterpillar_42.jpg,"caterpillar_2.jpg, caterpillar_34.jpg, caterpillar_42.jpg, caterpillar_53.jpg"
moth,hornbill,4,moth_1.jpg,moth_14.jpg,moth_32.jpg,"moth_1.jpg, moth_14.jpg, moth_32.jpg, moth_59.jpg"
squid,jellyfish,4,squid_30.jpg,squid_36.jpg,squid_37.jpg,"squid_30.jpg, squid_36.jpg, squid_37.jpg, squid_59.jpg"
hummingbird,dragonfly,4,hummingbird_29.jpg,hummingbird_39.jpg,hummingbird_41.jpg,"hummingbird_29.jpg, hummingbird_39.jpg, hummingbird_41.jpg, hummingbird_7.jpg"
reindeer,goat,4,reindeer_27.jpg,reindeer_30.jpg,reindeer_49.jpg,"reindeer_27.jpg, reindeer_30.jpg, reindeer_49.jpg, reindeer_51.jpg"
butterfly,lobster,4,butterfly_21.jpg,butterfly_28.jpg,butterfly_32.jpg,"butterfly_21.jpg, butterfly_28.jpg, butterfly_32.jpg, butterfly_37.jpg"
hamster,mouse,4,hamster_19.jpg,hamster_40.jpg,hamster_60.jpg,"hamster_19.jpg, hamster_40.jpg, hamster_60.jpg, hamster_8.jpg"
koala,donkey,4,koala_13.jpg,koala_17.jpg,koala_33.jpg,"koala_13.jpg, koala_17.jpg, koala_33.jpg, koala_9.jpg"
penguin,goat,4,penguin_11.jpg,penguin_13.jpg,penguin_29.jpg,"penguin_11.jpg, penguin_13.jpg, penguin_29.jpg, penguin_51.jpg"
goat,donkey,4,goat_25.jpg,goat_28.jpg,goat_33.jpg,"goat_25.jpg, goat_28.jpg, goat_33.jpg, goat_45.jpg"
mouse,sandpiper,4,mouse_25.jpg,mouse_32.jpg,mouse_37.jpg,"mouse_25.jpg, mouse_32.jpg, mouse_37.jpg, mouse_49.jpg"
crow,cat,4,crow_1.jpg,crow_18.jpg,crow_19.jpg,"crow_1.jpg, crow_18.jpg, crow_19.jpg, crow_23.jpg"
parrot,butterfly,4,parrot_16.jpg,parrot_35.jpg,parrot_44.jpg,"parrot_16.jpg, parrot_35.jpg, parrot_44.jpg, parrot_50.jpg"
ox,orangutan,4,ox_1.jpg,ox_26.jpg,ox_4.jpg,"ox_1.jpg, ox_26.jpg, ox_4.jpg, ox_49.jpg"
koala,hippopotamus,4,koala_36.jpg,koala_46.jpg,koala_50.jpg,"koala_36.jpg, koala_46.jpg, koala_50.jpg, koala_60.jpg"
whale,dolphin,4,whale_16.jpg,whale_31.jpg,whale_56.jpg,"whale_16.jpg, whale_31.jpg, whale_56.jpg, whale_9.jpg"
goose,wombat,4,goose_10.jpg,goose_3.jpg,goose_44.jpg,"goose_10.jpg, goose_3.jpg, goose_44.jpg, goose_9.jpg"
flamingo,okapi,4,flamingo_12.jpg,flamingo_35.jpg,flamingo_37.jpg,"flamingo_12.jpg, flamingo_35.jpg, flamingo_37.jpg, flamingo_58.jpg"
butterfly,caterpillar,4,butterfly_39.jpg,butterfly_49.jpg,butterfly_50.jpg,"butterfly_39.jpg, butterfly_49.jpg, butterfly_50.jpg, butterfly_6.jpg"
swan,sandpiper,4,swan_26.jpg,swan_31.jpg,swan_36.jpg,"swan_26.jpg, swan_31.jpg, swan_36.jpg, swan_57.jpg"
mosquito,goat,4,mosquito_31.jpg,mosquito_38.jpg,mosquito_51.jpg,"mosquito_31.jpg, mosquito_38.jpg, mosquito_51.jpg, mosquito_53.jpg"
sparrow,hyena,4,sparrow_20.jpg,sparrow_26.jpg,sparrow_34.jpg,"sparrow_20.jpg, sparrow_26.jpg, sparrow_34.jpg, sparrow_6.jpg"
elephant,hippopotamus,4,elephant_19.jpg,elephant_22.jpg,elephant_59.jpg,"elephant_19.jpg, elephant_22.jpg, elephant_59.jpg, elephant_6.jpg"
hornbill,crow,4,hornbill_2.jpg,hornbill_40.jpg,hornbill_51.jpg,"hornbill_2.jpg, hornbill_40.jpg, hornbill_51.jpg, hornbill_8.jpg"
crab,oyster,4,crab_36.jpg,crab_42.jpg,crab_52.jpg,"crab_36.jpg, crab_42.jpg, crab_52.jpg, crab_60.jpg"
pelecaniformes,seal,4,pelecaniformes_24.jpg,pelecaniformes_28.jpg,pelecaniformes_42.jpg,"pelecaniformes_24.jpg, pelecaniformes_28.jpg, pelecaniformes_42.jpg, pelecaniformes_52.jpg"
bat,squid,4,bat_2.jpg,bat_21.jpg,bat_29.jpg,"bat_2.jpg, bat_21.jpg, bat_29.jpg, bat_60.jpg"
badger,gorilla,4,badger_29.jpg,badger_52.jpg,badger_53.jpg,"badger_29.jpg, badger_52.jpg, badger_53.jpg, badger_60.jpg"
eagle,deer,4,eagle_36.jpg,eagle_4.jpg,eagle_5.jpg,"eagle_36.jpg, eagle_4.jpg, eagle_5.jpg, eagle_59.jpg"
donkey,coyote,4,donkey_10.jpg,donkey_24.jpg,donkey_45.jpg,"donkey_10.jpg, donkey_24.jpg, donkey_45.jpg, donkey_7.jpg"
elephant,fox,4,elephant_18.jpg,elephant_4.jpg,elephant_42.jpg,"elephant_18.jpg, elephant_4.jpg, elephant_42.jpg, elephant_50.jpg"
otter,panda,4,otter_1.jpg,otter_27.jpg,otter_41.jpg,"otter_1.jpg, otter_27.jpg, otter_41.jpg, otter_50.jpg"
cockroach,grasshopper,4,cockroach_2.jpg,cockroach_43.jpg,cockroach_50.jpg,"cockroach_2.jpg, cockroach_43.jpg, cockroach_50.jpg, cockroach_57.jpg"
sparrow,antelope,4,sparrow_21.jpg,sparrow_37.jpg,sparrow_39.jpg,"sparrow_21.jpg, sparrow_37.jpg, sparrow_39.jpg, sparrow_45.jpg"
moth,antelope,4,moth_29.jpg,moth_35.jpg,moth_45.jpg,"moth_29.jpg, moth_35.jpg, moth_45.jpg, moth_6.jpg"
koala,antelope,4,koala_25.jpg,koala_28.jpg,koala_35.jpg,"koala_25.jpg, koala_28.jpg, koala_35.jpg, koala_54.jpg"
squid,bat,4,squid_34.jpg,squid_46.jpg,squid_53.jpg,"squid_34.jpg, squid_46.jpg, squid_53.jpg, squid_9.jpg"
horse,gorilla,4,horse_13.jpg,horse_2.jpg,horse_46.jpg,"horse_13.jpg, horse_2.jpg, horse_46.jpg, horse_54.jpg"
pigeon,sparrow,4,pigeon_10.jpg,pigeon_19.jpg,pigeon_43.jpg,"pigeon_10.jpg, pigeon_19.jpg, pigeon_43.jpg, pigeon_59.jpg"
hornbill,woodpecker,4,hornbill_15.jpg,hornbill_36.jpg,hornbill_37.jpg,"hornbill_15.jpg, hornbill_36.jpg, hornbill_37.jpg, hornbill_55.jpg"
wolf,possum,4,wolf_18.jpg,wolf_21.jpg,wolf_41.jpg,"wolf_18.jpg, wolf_21.jpg, wolf_41.jpg, wolf_6.jpg"
orangutan,hornbill,4,orangutan_11.jpg,orangutan_3.jpg,orangutan_49.jpg,"orangutan_11.jpg, orangutan_3.jpg, orangutan_49.jpg, orangutan_58.jpg"
mosquito,cockroach,4,mosquito_16.jpg,mosquito_57.jpg,mosquito_59.jpg,"mosquito_16.jpg, mosquito_57.jpg, mosquito_59.jpg, mosquito_6.jpg"
owl,squirrel,3,owl_10.jpg,owl_14.jpg,owl_18.jpg,"owl_10.jpg, owl_14.jpg, owl_18.jpg"
fox,squirrel,3,fox_2.jpg,fox_34.jpg,fox_42.jpg,"fox_2.jpg, fox_34.jpg, fox_42.jpg"
butterfly,beetle,3,butterfly_23.jpg,butterfly_56.jpg,butterfly_8.jpg,"butterfly_23.jpg, butterfly_56.jpg, butterfly_8.jpg"
leopard,turkey,3,leopard_18.jpg,leopard_47.jpg,leopard_58.jpg,"leopard_18.jpg, leopard_47.jpg, leopard_58.jpg"
kangaroo,hippopotamus,3,kangaroo_1.jpg,kangaroo_14.jpg,kangaroo_41.jpg,"kangaroo_1.jpg, kangaroo_14.jpg, kangaroo_41.jpg"
starfish,hornbill,3,starfish_1.jpg,starfish_12.jpg,starfish_20.jpg,"starfish_1.jpg, starfish_12.jpg, starfish_20.jpg"
moth,fox,3,moth_18.jpg,moth_3.jpg,moth_46.jpg,"moth_18.jpg, moth_3.jpg, moth_46.jpg"
octopus,hornbill,3,octopus_17.jpg,octopus_23.jpg,octopus_4.jpg,"octopus_17.jpg, octopus_23.jpg, octopus_4.jpg"
otter,hornbill,3,otter_12.jpg,otter_18.jpg,otter_48.jpg,"otter_12.jpg, otter_18.jpg, otter_48.jpg"
cockroach,goat,3,cockroach_27.jpg,cockroach_29.jpg,cockroach_49.jpg,"cockroach_27.jpg, cockroach_29.jpg, cockroach_49.jpg"
zebra,hippopotamus,3,zebra_12.jpg,zebra_21.jpg,zebra_57.jpg,"zebra_12.jpg, zebra_21.jpg, zebra_57.jpg"
badger,hornbill,3,badger_13.jpg,badger_37.jpg,badger_48.jpg,"badger_13.jpg, badger_37.jpg, badger_48.jpg"
turtle,fox,3,turtle_29.jpg,turtle_42.jpg,turtle_7.jpg,"turtle_29.jpg, turtle_42.jpg, turtle_7.jpg"
okapi,hippopotamus,3,okapi_11.jpg,okapi_38.jpg,okapi_48.jpg,"okapi_11.jpg, okapi_38.jpg, okapi_48.jpg"
mouse,fox,3,mouse_39.jpg,mouse_6.jpg,mouse_7.jpg,"mouse_39.jpg, mouse_6.jpg, mouse_7.jpg"
flamingo,fox,3,flamingo_18.jpg,flamingo_32.jpg,flamingo_9.jpg,"flamingo_18.jpg, flamingo_32.jpg, flamingo_9.jpg"
cow,fox,3,cow_18.jpg,cow_41.jpg,cow_7.jpg,"cow_18.jpg, cow_41.jpg, cow_7.jpg"
squirrel,fox,3,squirrel_11.jpg,squirrel_14.jpg,squirrel_22.jpg,"squirrel_11.jpg, squirrel_14.jpg, squirrel_22.jpg"
starfish,fox,3,starfish_14.jpg,starfish_3.jpg,starfish_40.jpg,"starfish_14.jpg, starfish_3.jpg, starfish_40.jpg"
orangutan,hare,3,orangutan_10.jpg,orangutan_44.jpg,orangutan_50.jpg,"orangutan_10.jpg, orangutan_44.jpg, orangutan_50.jpg"
possum,fox,3,possum_13.jpg,possum_40.jpg,possum_41.jpg,"possum_13.jpg, possum_40.jpg, possum_41.jpg"
rat,fox,3,rat_45.jpg,rat_52.jpg,rat_54.jpg,"rat_45.jpg, rat_52.jpg, rat_54.jpg"
rhinoceros,fox,3,rhinoceros_20.jpg,rhinoceros_32.jpg,rhinoceros_54.jpg,"rhinoceros_20.jpg, rhinoceros_32.jpg, rhinoceros_54.jpg"
rat,hamster,3,rat_39.jpg,rat_59.jpg,rat_8.jpg,"rat_39.jpg, rat_59.jpg, rat_8.jpg"
rat,swan,3,rat_26.jpg,rat_31.jpg,rat_50.jpg,"rat_26.jpg, rat_31.jpg, rat_50.jpg"
otter,swan,3,otter_29.jpg,otter_33.jpg,otter_56.jpg,"otter_29.jpg, otter_33.jpg, otter_56.jpg"
oyster,swan,3,oyster_44.jpg,oyster_5.jpg,oyster_52.jpg,"oyster_44.jpg, oyster_5.jpg, oyster_52.jpg"
wombat,starfish,3,wombat_20.jpg,wombat_26.jpg,wombat_6.jpg,"wombat_20.jpg, wombat_26.jpg, wombat_6.jpg"
boar,elephant,3,boar_36.jpg,boar_4.jpg,boar_60.jpg,"boar_36.jpg, boar_4.jpg, boar_60.jpg"
dragonfly,kangaroo,3,dragonfly_10.jpg,dragonfly_12.jpg,dragonfly_38.jpg,"dragonfly_10.jpg, dragonfly_12.jpg, dragonfly_38.jpg"
lion,hyena,3,lion_17.jpg,lion_39.jpg,lion_48.jpg,"lion_17.jpg, lion_39.jpg, lion_48.jpg"
fly,hummingbird,3,fly_44.jpg,fly_45.jpg,fly_59.jpg,"fly_44.jpg, fly_45.jpg, fly_59.jpg"
starfish,jellyfish,3,starfish_54.jpg,starfish_7.jpg,starfish_9.jpg,"starfish_54.jpg, starfish_7.jpg, starfish_9.jpg"
whale,jellyfish,3,whale_41.jpg,whale_46.jpg,whale_50.jpg,"whale_41.jpg, whale_46.jpg, whale_50.jpg"
tiger,snake,3,tiger_38.jpg,tiger_50.jpg,tiger_7.jpg,"tiger_38.jpg, tiger_50.jpg, tiger_7.jpg"
zebra,snake,3,zebra_11.jpg,zebra_37.jpg,zebra_42.jpg,"zebra_11.jpg, zebra_37.jpg, zebra_42.jpg"
ox,snake,3,ox_12.jpg,ox_7.jpg,ox_8.jpg,"ox_12.jpg, ox_7.jpg, ox_8.jpg"
mouse,fly,3,mouse_11.jpg,mouse_34.jpg,mouse_57.jpg,"mouse_11.jpg, mouse_34.jpg, mouse_57.jpg"
chimpanzee,hyena,3,chimpanzee_11.jpg,chimpanzee_13.jpg,chimpanzee_29.jpg,"chimpanzee_11.jpg, chimpanzee_13.jpg, chimpanzee_29.jpg"
leopard,hornbill,3,leopard_3.jpg,leopard_46.jpg,leopard_51.jpg,"leopard_3.jpg, leopard_46.jpg, leopard_51.jpg"
hamster,hyena,3,hamster_17.jpg,hamster_32.jpg,hamster_39.jpg,"hamster_17.jpg, hamster_32.jpg, hamster_39.jpg"
goose,kangaroo,3,goose_14.jpg,goose_45.jpg,goose_53.jpg,"goose_14.jpg, goose_45.jpg, goose_53.jpg"
grasshopper,kangaroo,3,grasshopper_34.jpg,grasshopper_35.jpg,grasshopper_41.jpg,"grasshopper_34.jpg, grasshopper_35.jpg, grasshopper_41.jpg"
porcupine,starfish,3,porcupine_15.jpg,porcupine_16.jpg,porcupine_30.jpg,"porcupine_15.jpg, porcupine_16.jpg, porcupine_30.jpg"
hyena,turkey,3,hyena_12.jpg,hyena_26.jpg,hyena_29.jpg,"hyena_12.jpg, hyena_26.jpg, hyena_29.jpg"
boar,turkey,3,boar_2.jpg,boar_25.jpg,boar_39.jpg,"boar_2.jpg, boar_25.jpg, boar_39.jpg"
rat,fly,3,rat_12.jpg,rat_22.jpg,rat_56.jpg,"rat_12.jpg, rat_22.jpg, rat_56.jpg"
gorilla,hornbill,3,gorilla_14.jpg,gorilla_17.jpg,gorilla_21.jpg,"gorilla_14.jpg, gorilla_17.jpg, gorilla_21.jpg"
bear,hornbill,3,bear_23.jpg,bear_32.jpg,bear_35.jpg,"bear_23.jpg, bear_32.jpg, bear_35.jpg"
boar,hornbill,3,boar_16.jpg,boar_21.jpg,boar_33.jpg,"boar_16.jpg, boar_21.jpg, boar_33.jpg"
goldfish,squid,3,goldfish_27.jpg,goldfish_39.jpg,goldfish_50.jpg,"goldfish_27.jpg, goldfish_39.jpg, goldfish_50.jpg"
owl,bison,3,owl_33.jpg,owl_47.jpg,owl_50.jpg,"owl_33.jpg, owl_47.jpg, owl_50.jpg"
goose,sparrow,3,goose_30.jpg,goose_40.jpg,goose_56.jpg,"goose_30.jpg, goose_40.jpg, goose_56.jpg"
pelecaniformes,koala,3,pelecaniformes_3.jpg,pelecaniformes_41.jpg,pelecaniformes_60.jpg,"pelecaniformes_3.jpg, pelecaniformes_41.jpg, pelecaniformes_60.jpg"
fly,duck,3,fly_17.jpg,fly_25.jpg,fly_49.jpg,"fly_17.jpg, fly_25.jpg, fly_49.jpg"
beetle,duck,3,beetle_19.jpg,beetle_35.jpg,beetle_58.jpg,"beetle_19.jpg, beetle_35.jpg, beetle_58.jpg"
cockroach,lizard,3,cockroach_34.jpg,cockroach_40.jpg,cockroach_59.jpg,"cockroach_34.jpg, cockroach_40.jpg, cockroach_59.jpg"
tiger,bison,3,tiger_12.jpg,tiger_32.jpg,tiger_5.jpg,"tiger_12.jpg, tiger_32.jpg, tiger_5.jpg"
coyote,snake,3,coyote_47.jpg,coyote_5.jpg,coyote_50.jpg,"coyote_47.jpg, coyote_5.jpg, coyote_50.jpg"
porcupine,sheep,3,porcupine_10.jpg,porcupine_38.jpg,porcupine_54.jpg,"porcupine_10.jpg, porcupine_38.jpg, porcupine_54.jpg"
gorilla,sheep,3,gorilla_13.jpg,gorilla_54.jpg,gorilla_56.jpg,"gorilla_13.jpg, gorilla_54.jpg, gorilla_56.jpg"
cockroach,sheep,3,cockroach_18.jpg,cockroach_20.jpg,cockroach_6.jpg,"cockroach_18.jpg, cockroach_20.jpg, cockroach_6.jpg"
elephant,boar,3,elephant_23.jpg,elephant_35.jpg,elephant_49.jpg,"elephant_23.jpg, elephant_35.jpg, elephant_49.jpg"
seahorse,squid,3,seahorse_17.jpg,seahorse_51.jpg,seahorse_7.jpg,"seahorse_17.jpg, seahorse_51.jpg, seahorse_7.jpg"
raccoon,kangaroo,3,raccoon_31.jpg,raccoon_5.jpg,raccoon_56.jpg,"raccoon_31.jpg, raccoon_5.jpg, raccoon_56.jpg"
seahorse,kangaroo,3,seahorse_16.jpg,seahorse_33.jpg,seahorse_55.jpg,"seahorse_16.jpg, seahorse_33.jpg, seahorse_55.jpg"
chimpanzee,koala,3,chimpanzee_10.jpg,chimpanzee_14.jpg,chimpanzee_53.jpg,"chimpanzee_10.jpg, chimpanzee_14.jpg, chimpanzee_53.jpg"
bee,leopard,3,bee_36.jpg,bee_50.jpg,bee_57.jpg,"bee_36.jpg, bee_50.jpg, bee_57.jpg"
parrot,ladybugs,3,parrot_2.jpg,parrot_39.jpg,parrot_9.jpg,"parrot_2.jpg, parrot_39.jpg, parrot_9.jpg"
caterpillar,ladybugs,3,caterpillar_31.jpg,caterpillar_49.jpg,caterpillar_56.jpg,"caterpillar_31.jpg, caterpillar_49.jpg, caterpillar_56.jpg"
wolf,koala,3,wolf_13.jpg,wolf_36.jpg,wolf_56.jpg,"wolf_13.jpg, wolf_36.jpg, wolf_56.jpg"
butterfly,leopard,3,butterfly_43.jpg,butterfly_5.jpg,butterfly_53.jpg,"butterfly_43.jpg, butterfly_5.jpg, butterfly_53.jpg"
lion,koala,3,lion_14.jpg,lion_15.jpg,lion_16.jpg,"lion_14.jpg, lion_15.jpg, lion_16.jpg"
hyena,koala,3,hyena_34.jpg,hyena_36.jpg,hyena_56.jpg,"hyena_34.jpg, hyena_36.jpg, hyena_56.jpg"
hedgehog,koala,3,hedgehog_11.jpg,hedgehog_19.jpg,hedgehog_24.jpg,"hedgehog_11.jpg, hedgehog_19.jpg, hedgehog_24.jpg"
wombat,boar,3,wombat_42.jpg,wombat_43.jpg,wombat_57.jpg,"wombat_42.jpg, wombat_43.jpg, wombat_57.jpg"
wolf,seal,3,wolf_17.jpg,wolf_25.jpg,wolf_3.jpg,"wolf_17.jpg, wolf_25.jpg, wolf_3.jpg"
orangutan,boar,3,orangutan_26.jpg,orangutan_34.jpg,orangutan_35.jpg,"orangutan_26.jpg, orangutan_34.jpg, orangutan_35.jpg"
gorilla,seal,3,gorilla_42.jpg,gorilla_58.jpg,gorilla_59.jpg,"gorilla_42.jpg, gorilla_58.jpg, gorilla_59.jpg"
squirrel,raccoon,3,squirrel_1.jpg,squirrel_47.jpg,squirrel_50.jpg,"squirrel_1.jpg, squirrel_47.jpg, squirrel_50.jpg"
porcupine,snake,3,porcupine_19.jpg,porcupine_26.jpg,porcupine_33.jpg,"porcupine_19.jpg, porcupine_26.jpg, porcupine_33.jpg"
rhinoceros,moth,3,rhinoceros_18.jpg,rhinoceros_28.jpg,rhinoceros_46.jpg,"rhinoceros_18.jpg, rhinoceros_28.jpg, rhinoceros_46.jpg"
lion,wolf,3,lion_10.jpg,lion_38.jpg,lion_5.jpg,"lion_10.jpg, lion_38.jpg, lion_5.jpg"
tiger,lizard,3,tiger_20.jpg,tiger_34.jpg,tiger_54.jpg,"tiger_20.jpg, tiger_34.jpg, tiger_54.jpg"
panda,donkey,3,panda_26.jpg,panda_53.jpg,panda_7.jpg,"panda_26.jpg, panda_53.jpg, panda_7.jpg"
pelecaniformes,donkey,3,pelecaniformes_10.jpg,pelecaniformes_11.jpg,pelecaniformes_36.jpg,"pelecaniformes_10.jpg, pelecaniformes_11.jpg, pelecaniformes_36.jpg"
snake,mouse,3,snake_24.jpg,snake_40.jpg,snake_43.jpg,"snake_24.jpg, snake_40.jpg, snake_43.jpg"
gorilla,mouse,3,gorilla_47.jpg,gorilla_6.jpg,gorilla_60.jpg,"gorilla_47.jpg, gorilla_6.jpg, gorilla_60.jpg"
fly,goat,3,fly_19.jpg,fly_40.jpg,fly_58.jpg,"fly_19.jpg, fly_40.jpg, fly_58.jpg"
donkey,seal,3,donkey_12.jpg,donkey_23.jpg,donkey_28.jpg,"donkey_12.jpg, donkey_23.jpg, donkey_28.jpg"
ladybugs,leopard,3,ladybugs_28.jpg,ladybugs_53.jpg,ladybugs_59.jpg,"ladybugs_28.jpg, ladybugs_53.jpg, ladybugs_59.jpg"
deer,moth,3,deer_35.jpg,deer_41.jpg,deer_47.jpg,"deer_35.jpg, deer_41.jpg, deer_47.jpg"
hyena,donkey,3,hyena_13.jpg,hyena_2.jpg,hyena_38.jpg,"hyena_13.jpg, hyena_2.jpg, hyena_38.jpg"
